"REF_DATE","GEO","DGUID","Age at time of death","Sex","Leading causes of death (ICD-10)","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1056","","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1012","","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1087","","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1016","","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1041","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","942","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1077","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1070","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Congenital malformations, deformations and chromosomal abnormalities [Q00-Q99]","Number of deaths","Number","223","units","0","v41341128","1.1.1.44.2","1026","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","","..","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","4","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","4","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","4","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","6","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Rank of leading causes of death","Number","223","units","0","v1299900837","1.1.1.52.1","9","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2012","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2013","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2014","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2015","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2016","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2017","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2018","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2019","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","","..","","","0"
"2020","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","15799","","","","0"
"2021","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","14618","","","","0"
"2022","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","19948","","","","0"
"2023","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","7978","","","","0"
"2024","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","COVID-19 [U07.1, U07.2, U10.9]","Number of deaths","Number","223","units","0","v1299900838","1.1.1.52.2","5056","","","","0"
"2009","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Rank of leading causes of death","Number","223","units","0","v41341129","1.1.1.45.1","5","","","","0"
"2010","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Rank of leading causes of death","Number","223","units","0","v41341129","1.1.1.45.1","4","","","","0"
"2011","Canada, place of residence","2021A000011124","Age at time of death, all ages","Both sexes","Accidents (unintentional injuries) [V01-X59, Y85-Y86]","Rank of leading causes of death","Number","223","units","0","v41341129","1.1.1.45.1","5","","","","0"
